Express Zip File Compression Software,"A suitable software solution strictly dedicated to exploring, creating and managing archives of various formats easy and in the blink of an eye"
PowerArchiver,"Compress files and extract archive content, connect to cloud storage accounts and FTP servers, compile ISO images and burn files to discs and more"
WinRAR,"Archiving utility with a complex compression engine, security features, integrity checkup, repair feature, recovery mode, file splitting, and more"
WinArchiver,Manage a large variety of compressed and archived files or folders by relying on this streamlined and user-friendly software solution
unzipper,Conveniently create archives of similar groups of files or open various compressed files using this simple and straightforward application
CompactGUI,Provides an intuitive graphical interface for the compact.exe command-line tool introduced in Windows 10 for compressing files to free up space
Pismo File Mount Audit Package,"A lightweight application that helps users mount file contents to the system as virtual folders, while offering the possibility to mount ZIP archives, CD and DVS images"
Loseless Image Compressor,"Compresses images in a folder of your choice, obtaining a compression rate of around 10-20% to make extra room on your hard disk"
Polar ZIP Component,Implement compression capabilities into applications with the help of this tool that allows developers to try their hand of various customizations
Jujuba Unpacker,"Extract files from archives with popular formats, such as 7Z, TBZ, CAB, RAR, LZMA and LHA, even from password-protected archives using this Modern UI app"
7-Zip,"An intuitive application with a very good compression ratio that can help you not only create and extract archives, but also test them for errors"
8 Zip for Windows 10/8.1,"A simple but efficient tool that helps you create and open archives, preview the files from ZIP, RAR and other archive types, and encrypt the information"
8 Zip Lite,A reliable and user-friendly software solution that can be used by all those who want to quickly create archives or extract their contents
Rar Zip Extractor Pro for Windows 10,Load archive files of various formats to extract custom content or bundle multiple files together in an archive which can be password-protected
Unzip Photo Archives,"A simple and useful application that enables you to find archive files, unpack them, then extract images contained within the compressed documents"
PeaZip,Compress files and folders in order to save precious disk space and take advantage of a lot more integrated tools with the help of this powerful application
AutoZipper,"Create ZIP archives containing files with absolute or relative paths, which are saved into a project file so they can be used at a later time"
PowerArchiver Command Line,A command-line utility for PowerArchiver that enables users to archive and encrypt multiple file formats using the computer's text interface
Bandizip,"Fast compression and decompression tool with extensive file type support, archive spanning, encryption, multiple compression levels, integrity checker, context menu integration, and more"
nBinder,"A powerful software bundle that provides users with numerous features such as file binder, compressor and encrypter designed for beginners and experts alike"
Advanced Archive Repair,"Repair damaged or corrupt ZIP, RAR, CAB, and TAR archives in an intuitive process, with a built-in search tool to quickly identify archives, and different related options for buffer, and password"
Explzh,"Comprehensive utility for both extracting and creating file archives, with options for testing and repairing compression packages"
CabMaker,"A simple GUI for the command-line Makecab utility included in Windows, making it easier to quickly package an entire folder into a CAB file"
NoVirusThanks UPX Easy GUI,"Graphical interface to easily compress and decompress programs, DOS tools, Linux executables and DLLs with UPX, with support for multiple compression levels"
B1 Free Archiver,"Create and extract B1, ZIP, 7z and other types of archives with the help of this comprehensive and visually appealing software application"
Lzip,Compress data to LZIP format for long-term archive storage and data sharing using this command-line application with many configuration settings
Archiver,"Compress files and decompress archives, upload them via FTP/SFTP, share photos via Facebook or Flickr, test archives and convert them to self-extracting files, and more"
Autozeep,Apply NTFS compression to old files and decompress new files in order to free up space and optimize the hard drive using this simple script
Archive collectively operation utility,Conveniently decompress multiple archives at once or create several compressed files from multiple files and folders on your computer with this tool
WinZip,"The world's leading utility for compression, encryption and backup which provides all the needed tool sand functions for handling ZIP archives and a lot more"
Zipware,"Create, convert and extract various types of archives, protect them using various encryption algorithms for your passwords, and generate password files"
Extract RAR,Decompress single- or multi-RAR files on your computer by turning to this lightweight application that features a user-friendly interface
SFV Checker,Ensure your multi-volume file archives are complete and accurate by having them thoroughly analyzed with the help of this practical application
ZipNow,Automatically ZIP and UnZIP files by simply clicking a button with this comprehensive app that comes with a simplistic interface
J7Z,"Create or update archives and backup your important folders with this powerful compression tool, which provides support for various archive formats"
WinZip Universal Store App,Create ZIP archives on your computer and decompress their contents locally or to a remote location by using this handy application
re7zip,Extract files from online archives without actually downloading the archives as well as list archive contents to know what to extract
