1Tree Pro,"This application allows you to explore your hard drives and manage the files and folders, by moving, copying or permanently deleting them"
Tagz,"Manage your files more efficiently and create multiple associations for your documents, videos or pictures using this straightforward app"
Finnalytics File Explorer,"Search for or navigate to the files' location on your hard drive to copy, arrange, delete, rename or sent to fax using this appealing app"
Tablacus Explorer,"Tabbed file manager that you can use to organize files and directories with ease, saving your settings to XML file format for later use"
Unreal Commander,"Navigate and organize your files and folders with this customizable, dual-panel file manager that offers numerous useful functions"
Directory Lister,"Creates lists of files from user-selected directories on hard disks or removable drives, while offering support for advanced filtering options"
fman,"Dual-pane file manager for Windows, Mac OS and Linux with a minimalistic interface, focus on enhanced performance, and support for open-source plugins"
Q-Dir,"View and manage the contents of four folders at the same time, transfer files easily and increase your overall productivity, with this nifty application"
Multi Commander,"Dual-pane and multi-tabbed file manager with rich features for experienced users, including advanced search, registry explorer, file packer and aliases"
FTPDirect,"A smart application designed to synchronize directories located on FTP servers with local folders on demand or automatically, at a user-defined interval"
UFS Explorer Standard Access,"A utility that lets you view and recover files and folders that are located on your computer in blocked, forbidden or inaccessible locations"
Freeman,Elegant and seemingly simplistic dual-pane file manager that actually has built-in terminals for power users to enhance its functionality
Directory Opus,"A robust file manager that can replace Windows Explorer, providing much more features and a dual-pane interface for you to work with"
XYplorer,"Tabbed file manager with powerful content manipulation options, advanced search and preview functionality, all to ease your daily tasks"
Soft4Boost Device Uploader,"Effortlessly upload pictures, clips and audio files to your smartphones or other portable devices with the help of this user-friendly and intuitive app"
WinDataReflector,"Straightforward application which enables you to back up and synchronize multiple directories in the same session, with just a few clicks"
Tabbles,"A useful utility for tagging and organizing files that belong to more than one folder or project, without having them copied in several locations"
Where'd My Space Go,"Analyze disk space distribution to find out the largest files and folders, include special folders, and filter information by size"
Shallot,"Seamlessly manage the directories and files on your computer and modify, delete or add new attributes via this straightforward application"
EF Commander,A comprehensive and easy-to-use file manager that has been especially tailored to meet the needs of both beginner and professional users
RescuePRO Deluxe,"Recovers lost files from your removable devices, including photos, videos and documents that have been deleted by accident or by corruption"
xplorer Ultimate,"A suitable alternative to conventional file explorers, with support for multiple tabs, two navigation panels and a powerful search engine"
Breez,"Explore, search and share files directly from the folders on your computer with other network users via this straightforward software solution"
xplorer,"A fully-featured file management tool that allows users to copy, delete, or rename files, organize folders in groups, perform searches based on various criteria, split or join files, delete data securely and many others"
File Viewer Plus for Windows 10,"View most of the files on your system with this app that supports a wide range of formats, offers powerful editing features and includes a batch converter"
File Renamer Tool,Seamlessly rename multiple files by retyping the new desired filename in one go using this simple and straightforward software solution
Folder Size Explorer,A reliable and user-friendly software utility that comes in handy when you want to quickly calculate the size of your folders or the checksums of your files
nuiSense business for Windows 10/8.1,Create a wide range of presentations to be displayed on touchscreen-enabled devices by using this reliable and innovative software solution
Directory List & Print,"Search for important files in any folder and view information about them in a customizable list, as well as export the list to Word or Excel documents"
My Explorer for Windows 10/8.1,"Stylish file manager for Windows 8 that lets you create favorites, pin any folder to the Start Screen, and perform basic file operations"
File Browser for Windows 8,"Windows 8 file manager that allows you to pin folders to Start screen, create a list with favorite directories, as well as cut, copy, paste, delete or rename files"
MiTeC DirList,View the contents of your PC's folder structure with this application that yields a customizable file listing and offers export to HTML and CSV file formats
Far Manager,Make file management an easy and quick process using this powerful and cleverly simple application that comes equipped with tons of features
AKIN HyperSearch,"Locate files on your computer and select from various filters (e.g. images, videos, websites, emails, organizations) to increase search speed"
File Cards Store App,"Organize files, folders and subfolders easily, by assigning them to cards for increased visibility, productivity and file management efficiency"
Duplicate Sweeper,"Easy-to-use software tool that quickly finds and removes duplicate files, featuring support for user-defined rules, using low resources"
Easy File Joiner,Create a single file out of multiple bits with similar configurations and formats with the help of this lightweight yet practical application
UltraFileSearch Lite,"A powerful searching utility that is able to quickly find files, folders and text based on specific words, date modified and size"
UltraFileSearch Std,"A feature-packed, yet intuitive software solution that can be used whenever you want to quickly find specific files within your folders"
CopyFolders,A reliable and easy to use application that enables you to copy new or modified files from their source directories to other destination folders
XplorPlus,"Manage the files and folders on your computer, organize photos, create web galleries, convert images and more, with this powerful software solution"
Simple File Viewer,View images and text files with the help of this lightweight application that can show them in a slideshow for increased convenience
AthTek File Master,"An application that provides users with file encryption capabilities, and which can also be used as a file explorer for management purposes"
NSF Merge Software,Easily merge IBM or Lotus Notes archives and migrate them to other mail clients or platforms using this simple and straightforward app
Ron's Renamer,"Fast program that is able to rename files and folders using batch processing and various rules (e.g. add space and text, insert music and image tag), as well as preview and roll back the changes"
DMG Extractor,"Explore Mac-formatted DMG images, as well as open and extract files to your Windows PC using this simple-to-use and speedy utility"
FreeCommander XE,An easy-to-use alternative to the shareware file managers on the market providing a large variety of tools to navigate and handle files as you see fit
Emanagesoft,Turn to this file manager that lets you browse through multi-tag panes and brings at your fingertips all the documents you are working with
Rename Us Pro,"Seamlessly copy, rearrange and rename a group of files at once using your predefined rules with this lightweight software solution"
SpeedCommander,"A powerful and reliable file manager that offers numerous features, enabling you to perform various operations, such as renaming or splitting files"
Duplicate File Finder Plus,"A useful and intuitive application that scans your entire computer or certain drives and displays file duplicates, so you can identify and remove them"
SysTools DMG Viewer,"Open Mac OS X DMG images in Windows, even if they are corrupt or password-protected, to view and extract files, and recover permanently deleted files"
Folder2List,"Enables you to create lists based on selected contents of your hard drive, create several profiles and save projects or print them"
xplorer LITE,"An efficient file browsing application that lets users open multiple browsing tabs within the application, manage them independently and perform bulk functions"
Total Commander Ultima Prime,An extended version of Total Commander that comes equipped with a lot more than a set of tools to easily manage files on your computer
JFileProcessor,"Non-impressive, Java-based and slightly atypical file manager that bundles a few useful search functions and that might come in handy for file count purposes"
Kyktir,Conveniently open PCL5 or EMF files and render their content without having specialized software solutions installed via this application
