KeepVid music tag editor,"Edit various tags for audio files including album name, artwork, artist, genre and so forth with the help of this neat software tool"
WinCHM Pro,"An HTML help authoring tool that will allow you to easily create professional and good looking HTML help(CHM), Web help and PDF manuals"
WordToHelp,"Create Help files in several formats using new or existing Microsoft Word documents, with this powerful and easy-to-use application"
MAKEMSI,A versatile and intuitive application whose main purpose is to build or update MSI based installers (written by a Microsoft MVP)
EximiousSoft Business Card Designer,"A user-friendly application that helps you design business cards by selecting from different preset themes and templates, and print or export them to a file"
Dr.Explain,"A powerful and comprehensive software solution that allows users create complex Help manuals and export them to HTML, PDF, RTF, or CHM file format"
Animated Screensaver Maker,Design your own screensavers by applying animations and other image effects on your personal images using this software application
InstallMate,"Builds software installers that can be deployed on any Windows platform, therefore providing a plethora of customizable packaging options"
BitRock InstallBuilder Professional,A professional and efficient software utility designed to help you easily create installers for your application in an organized fashion
BitRock InstallBuilder Enterprise,"An application designed to ease the software packaging and deployment process, allowing you to build programs for a multitude of platforms and operating systems"
BitRock InstallBuilder,"Create customized installers, RPM package manager or multi-platform DVDs with a click of a button with this user-friendly utility"
WriteItNow,"A great novel writing software that provides you with tools for generating characters, organizing events, locations, ideas and notes"
Help & Manual,"Create user manuals and help files for your application using this tool, which offers you all the necessary instruments to format your text, insert pictures and design the visual layout"
Calibre,Effortlessly keep your e-book library thoroughly organized with the help of this efficient and straightforward software solution
StepShot Guides,"Create presentations or provide explanations by taking multiple screenshots and personalizing them with text, arrows, and geometrical figures"
Disc Cover Studio,Create original disc covers for your favorite CDs and DVDs using the multiple layouts and templates provided by this intuitive software solution
Album DS,Gets integrated with Adobe Photoshop CS or higher to help you create professional-looking digital photo albums using rich addons
Advanced Installer for Java,"Powerful and easy to use installer authoring application that helps you to install, update and configure your products safely, securely and reliably"
Advanced Installer Enterprise,A reliable and effective piece of software worth having when you need to create installers for your applications using simple and intuitive wizards
HelpNDoc Personal Edition,"A useful and easy-to-use application worth having when you need to quickly create complete help files, manuals, documentations and eBooks"
BookWright,"Design e-books, magazines, trade and photo books using multiple layouts and tools, with this powerful and easy-to-use piece of software"
Advanced Installer Professional,A professional software application that bundles a complete set of tools for helping developers build Windows Installer packages
Advanced Installer,"Create your own Windows installer with custom options and appearance, with the help of this intuitive, wizard-style piece of software"
Business Card Designer Plus,A simple and reliable software solution that lets you design and print professional-looking business cards in just a few seconds
ePageCreator,"Create eBooks or publications from PDF, image or SWF files on your computer with ease by relying on this lightweight, handy application"
Tanida Demo Builder,"Create high-quality demonstrations, presentations, tutorials, and movies containing videos, images and screen recordings with this application"
SSE Setup,Create setup wizards by taking advantage of the step-by-step guide provided by this reliable and user-friendly software solution
JPEG Saver,"Accessible, easy-to-use and handy software application that manages to display the contents of your images folders as a screensaver"
Incardex,"Create, design and print ID card layouts, insert personal information, photos and various shapes, edit their properties, and more"
iPixSoft Video Slideshow Maker,Effortlessly convert your digital photos into video flash slideshows with just a few mouse clicks by relying on this streamlined application
VEGAS DVD Architect,Prepare and burn DVD and Blu-ray discs using professional authoring features provided by this comprehensive program with intuitive options
Screen Saver Construction Set,"Enables you to easily distributable multimedia screen savers from your pictures, sounds and text files with this useful application"
PACE Suite,"Sequence or directly edit App-V packages of any complexity smoothly, bring installation packages authoring and modifying to a new level of comfort and repack original software installations to MSI packages"
MSI Wrapper,"Wrap any EXE installer into an MSI package, specifying the ID and upgrade code, as well as command-line arguments with this handy tool"
ScreenSteps,Create detailed visual lessons or tutorials in the blink of an eye and upload them to a given web page with this easy to use application
NativeJ Express,"Automatically generate Win32 native executable files for your Java applications, run the EXE file in order to test it, and add an ICO file from your computer"
CHM Editor,"View, edit and create new HTML help files (CHM) with the help of this intuitive and resourceful application that has many formatting options"
HelpSmith,"Create complex help files with ease, thanks to the user-friendly working environment and numerous options and customization preferences"
InstallSimple PRO,A powerful and compact utility that guides users through the process of creating a customized installer for distributing their files
InstallSimple Free,Create a simple installer for your applications in the blink of an eye with this lightweight utility that will guide you every step of the way
HelpScribble,"Straightforward and simple-to-use application that enables you to create Windows Help files, without affecting your system's performance"
PortableApps.com Installer,Lightweight and simple-to-use application that enables you to quickly create packaging solutions for your portable software products
CreateInstall Light,An efficient and convenient software solution meant to provide you with an installer builder for creating top quality installation packs
CreateInstall,"Create custom installation packages, CAB archives, and installation scripts, modify dialogs, add your own resources and controls and run the installation program to test its functions"
CreateInstall Free,"Create shortcuts in any locations, unpack and/or copy the necessary files, as well as to create the uninstall utility by using this reliable piece of software"
install4j,Follow a few guided steps in order to build a suitable deployment package for your Java applications with the help of this practical tool
PhotoToFilm,Create movies out of your digital photos with the help of this user-friendly application that offers video effects and features a fun and easy process
EMCO MSI Package Builder Enterprise,Generate customizable MSI installation files without requiring advanced knowledge or monitor an existing setup package and create your own MSI file based on the results
EMCO MSI Package Builder Professional,Generate customizable MSI installation packages or repack existing setup files to MSI format with the help of this intuitive application
Nullsoft Scriptable Install System,A professional and efficient application that comes in handy for users who want to create installers and communicate with other software components
ABC-Deploy,Deploy installation procedures for software or patches and run management tasks on client computers and keep an inventory on the resources avaialable
Kotobee Author,"Unleash your creativity as a writer via this ebook creator that helps you come up with beautiful designs that you can populate with text, images, audio, video, and more"
EasyPackager MSI,"Create Windows Installers that can pass Windows App Certification Kit tests, in a few simple steps, with this user-friendly application"
DCP Setup Maker,Create Java installers for your applications and scan directories for any type of file you might want to include in the setup with this intuitive application
DeployMaster,Create a good first impression and wrap the files of your application in a pretty installer package using this handy software utility
Epson Print CD,"A handy means to author your own personalized covers and labels, as well as to print them on CD / DVD discs in a convenient manner"
Vole Media CHM Free Edition,A simple and useful software solution worth having when you need to create and publish CHM documents with embedded images and videos
Centurion Setup,"Build an installer in a self-contained executable by customizing all of its elements, such as EULA, app name, uninstaller icon or expiration date"
Sigil,Advanced ebook editor and designer with intuitive and approachable features and configuration parameters for putting together ePub files
ZOLA MSI Repackager,A software utility that enables you to take snapshots of your entire file system and create MSI installers that can be transferred to other computers
Tobi,"Synchronizes text documents with human narration using DAISY 3 and DTBook XML, while supporting MP3, uncompressed WAV, and MP4 audio files"
Comic Life,Create comic books from scratch or rely on one of the various templates with this powerful application that comes with multiple customization features
Obi,"Minimal program which enables you to easily create Digital Talking Books (DTBs), add and manage bookmarks, as well as information pertaining to it"
SetupBuilder Developer,"Comprehensive setup builder with a powerful scripting facility, API calling features, support for .NET assemblies, authenticode, web-based installations, auto web updates and more"
SetupBuilder Starter,"Create setup packs for applications by tinkering with installation details, customizing the setup appearance, indicating setup requirements, editing the script logic, and more"
CD Label Designer,Create detailed CD covers and disc models using the various layouts and customization methods provided by this complex and reliable application
WiX Toolset,A useful package of command line tools that creates Windows installation packages for your applications by using the XML authoring model
MSI Factory,A powerful and reliable application that allows you to seamlessly develop intricate installers using files and folders from your computer
iStonsoft ePub Converter,"Creates ePub documents from HTML, PDF, MOBI, TXT and DOC files in single and batch mode, featuring support for merging all items"
Setup Factory,A powerful application that will enable you to create professional-grade installers for your software packages with minimal efforts
Live Screensaver Creator,"Make your very own customized screensavers using your personal photos or other images from your favorite movies, landscapes, hobbies or anything else you can find on the Internet"
Ultra Screen Saver Maker,"A user-friendly tool that enables you to design screensavers by merging images, audio files, movies, Flash items, URLs, text messages, and transition effects"
Xilisoft Photo DVD Maker,"An application designed to provide users with the possibility to convert their photo collection to DVD movies, ISO files and DVD folders"
Sandcastle Help File Builder,"A simple and efficient software utility designed to function as a HTML Help file builder, providing you with numerous customizable features"
SamLogic Visual Installer Standard,"Create installer packages that can be ran from various CDs, DVDs or USB devices with the help of this well-organized and efficient application"
SamLogic Visual Installer Professional,Create an installation package in minutes with the help of this easy to use application and distribute your software to end users
Actual Installer Free,"You can create numerous installers, without the need to script, but by simply filling out the necessary details in the forms, quickly and simply"
Actual Installer Pro,Create a professional and comprehensive setup package for your apps using this straightforward utility packed with a long list of options
